checkpoint,t_start,guidance_scale,auroc,auprc,f1_score,accuracy,sensitivity,specificity,precision,optimal_threshold
step_100000.pt,150,7.5,0.7562074074074074,0.8514882060331184,0.7835738068812431,0.7111111111111111,0.7844444444444445,0.5644444444444444,0.7827050997782705,0.1531643569469452
step_80000.pt,200,7.5,0.7554913580246914,0.8516959686895089,0.7538280329799765,0.6903703703703704,0.7111111111111111,0.6488888888888888,0.8020050125313283,0.18866732716560364
step_100000.pt,150,3.0,0.7551999999999999,0.8510085519846381,0.8198757763975155,0.7422222222222222,0.88,0.4666666666666667,0.7674418604651163,0.1364538818597793
step_140000.pt,150,3.0,0.7551703703703704,0.8509029543781927,0.7853170189098999,0.7140740740740741,0.7844444444444445,0.5733333333333334,0.7861915367483296,0.156902402639389
step_100000.pt,150,5.0,0.7549234567901234,0.850837468135288,0.7416267942583732,0.68,0.6888888888888889,0.6622222222222223,0.8031088082901554,0.1802950203418731
step_140000.pt,150,7.5,0.7547160493827161,0.8503279069887075,0.7747747747747747,0.7037037037037037,0.7644444444444445,0.5822222222222222,0.7853881278538812,0.1621446907520294
step_140000.pt,150,5.0,0.7545086419753086,0.8495575717402135,0.777027027027027,0.7066666666666667,0.7666666666666667,0.5866666666666667,0.7876712328767124,0.1614837050437927
step_70000.pt,200,3.0,0.7541135802469136,0.8502774525428675,0.7806524184476941,0.7111111111111111,0.7711111111111111,0.5911111111111111,0.7904328018223234,0.17033888399600983
step_130000.pt,150,7.5,0.754004938271605,0.8497726286877176,0.7410071942446043,0.68,0.6866666666666666,0.6666666666666666,0.8046875,0.1828514635562896
step_70000.pt,200,7.5,0.7537283950617284,0.849725422292029,0.7672811059907834,0.7007407407407408,0.74,0.6222222222222222,0.7966507177033493,0.18074747920036316
step_80000.pt,200,5.0,0.7534814814814815,0.8496283072832352,0.7523584905660378,0.6888888888888889,0.7088888888888889,0.6488888888888888,0.8015075376884422,0.18865622580051422
step_60000.pt,200,7.5,0.7534123456790123,0.8510649171023066,0.7649769585253456,0.6977777777777778,0.7377777777777778,0.6177777777777778,0.7942583732057417,0.1779116541147232
step_70000.pt,200,5.0,0.7528888888888889,0.8506797379709373,0.7702857142857142,0.7022222222222222,0.7488888888888889,0.6088888888888889,0.7929411764705883,0.17416344583034515
step_130000.pt,150,5.0,0.752879012345679,0.8490554753165596,0.7861915367483296,0.7155555555555555,0.7844444444444445,0.5777777777777777,0.7879464285714286,0.1554408818483352
step_60000.pt,200,5.0,0.75279012345679,0.8511998387269668,0.771689497716895,0.7037037037037037,0.7511111111111111,0.6088888888888889,0.7934272300469484,0.17574957013130188
step_110000.pt,150,5.0,0.7524246913580247,0.8489624646412838,0.7775280898876404,0.7066666666666667,0.7688888888888888,0.5822222222222222,0.7863636363636364,0.1580352038145065
step_110000.pt,150,3.0,0.752237037037037,0.8493579514880194,0.7817371937639198,0.7096296296296296,0.78,0.5688888888888889,0.7834821428571429,0.1540653109550476
step_130000.pt,150,3.0,0.7521382716049383,0.8474262588239474,0.7844444444444445,0.7125925925925926,0.7844444444444445,0.5688888888888889,0.7844444444444445,0.1548042595386505
step_110000.pt,150,7.5,0.752,0.8483853131631521,0.7747747747747747,0.7037037037037037,0.7644444444444445,0.5822222222222222,0.7853881278538812,0.1579474508762359
step_60000.pt,200,3.0,0.7519012345679013,0.8506671938719556,0.7920792079207921,0.72,0.8,0.56,0.7843137254901961,0.1645394116640091
step_120000.pt,150,7.5,0.7518123456790125,0.848241543848921,0.7364620938628159,0.6755555555555556,0.68,0.6666666666666666,0.8031496062992126,0.1814729273319244
step_50000.pt,200,3.0,0.7511506172839506,0.8512290127271522,0.7751412429378531,0.7051851851851851,0.7622222222222222,0.5911111111111111,0.7885057471264367,0.17229916155338287
step_50000.pt,200,7.5,0.7510716049382715,0.8517321929463936,0.7821229050279329,0.7111111111111111,0.7777777777777778,0.5777777777777777,0.7865168539325843,0.16939741373062134
step_120000.pt,150,3.0,0.7510518518518519,0.8458280083095073,0.7761529808773904,0.7051851851851851,0.7666666666666667,0.5822222222222222,0.785876993166287,0.1571898460388183
step_120000.pt,150,5.0,0.7505777777777778,0.8466063585691932,0.7392344497607656,0.677037037037037,0.6866666666666666,0.6577777777777778,0.8005181347150259,0.1791378110647201
step_80000.pt,200,3.0,0.7502716049382717,0.8487914478991622,0.7898789878987899,0.717037037037037,0.7977777777777778,0.5555555555555556,0.7821350762527233,0.16299757361412048
step_90000.pt,200,7.5,0.7494913580246914,0.8495123384323906,0.7446300715990454,0.682962962962963,0.6933333333333334,0.6622222222222223,0.8041237113402062,0.1917697787284851
step_50000.pt,200,5.0,0.7492938271604939,0.8498945375436983,0.7816349384098544,0.7111111111111111,0.7755555555555556,0.5822222222222222,0.7878103837471784,0.16971370577812195
step_70000.pt,150,3.0,0.7492543209876544,0.8485648676534887,0.7739032620922385,0.7022222222222222,0.7644444444444445,0.5777777777777777,0.7835990888382688,0.15409651398658752
step_70000.pt,150,7.5,0.7486320987654321,0.8487023609334892,0.7325301204819277,0.6711111111111111,0.6755555555555556,0.6622222222222223,0.8,0.1763927936553955
step_80000.pt,150,7.5,0.748483950617284,0.8485925924431361,0.7739032620922385,0.7022222222222222,0.7644444444444445,0.5777777777777777,0.7835990888382688,0.1543300896883011
step_90000.pt,200,3.0,0.7482074074074074,0.8482226597404969,0.7849223946784922,0.7125925925925926,0.7866666666666666,0.5644444444444444,0.7831858407079646,0.16638895869255066
step_60000.pt,150,5.0,0.7481876543209878,0.8483218679729347,0.779510022271715,0.7066666666666667,0.7777777777777778,0.5644444444444444,0.78125,0.1509409248828888
step_70000.pt,150,5.0,0.748079012345679,0.8474979230831261,0.7739032620922385,0.7022222222222222,0.7644444444444445,0.5777777777777777,0.7835990888382688,0.15467126667499542
step_80000.pt,150,3.0,0.7476543209876543,0.848126543551102,0.8303030303030303,0.7511111111111111,0.9133333333333333,0.4266666666666667,0.7611111111111111,0.12534800171852112
step_80000.pt,150,5.0,0.7475654320987655,0.8483193931526876,0.77665544332211,0.7051851851851851,0.7688888888888888,0.5777777777777777,0.7845804988662132,0.1539500653743744
step_60000.pt,150,7.5,0.7473975308641975,0.8485884623515585,0.7752808988764045,0.7037037037037037,0.7666666666666667,0.5777777777777777,0.7840909090909091,0.15451708436012268
step_90000.pt,150,7.5,0.7473679012345679,0.8473442320625562,0.7752808988764045,0.7037037037037037,0.7666666666666667,0.5777777777777777,0.7840909090909091,0.1556645929813385
